dataset_scientificName	dataset_taxonID	acceptedNameUsageID	acceptedName	gbif_speciesName	gbif_taxonID	taxonomicStatus	ncbi_speciesName	ncbi_taxonID	status	ncbi_acceptedName	gbif_wikidata_uri	ncbi_taxonID_wd	ncbi_wikidata_uri	gbif_taxonID_wd	curation
Potamogeton berchtoldii Fieber	6389089	6389089	Potamogeton berchtoldii Fieber	Potamogeton berchtoldii Fieber	6389089	accepted	Potamogeton berchtoldii Fieber	108425	exact_match	Potamogeton berchtoldii	http://www.wikidata.org/entity/Q11888128	108425			ok_auto
Bistorta officinalis Delarbre	6390806	7291159	Bistorta officinalis subsp. officinalis	Bistorta officinalis Delarbre	6390806	heterotypic synonym	Bistorta officinalis Delarbre, 1800	125587	exact_match	Bistorta officinalis	http://www.wikidata.org/entity/Q112917	125587			ok_auto
Persicaria minor (Huds.) Opiz	6391150	6391150	Persicaria minor (Huds.) Opiz	Persicaria minor (Huds.) Opiz	6391150	accepted	Persicaria minor (Huds.) Opiz	488003	exact_match	Persicaria minor	http://www.wikidata.org/entity/Q1717986	488003			ok_auto
Rumex triangulivalvis (Danser) Rech.fil.	6391377	6391377	Rumex triangulivalvis (Danser) Rech.fil.	Rumex triangulivalvis (Danser) Rech.fil.	6391377	accepted	Rumex triangulivalvis (Danser) Rech.f., 1936	1234506	exact_match	Rumex triangulivalvis	http://www.wikidata.org/entity/Q11882016	1234506			ok_auto
Rumex thyrsiflorus Fingerh.	6391417	6391417	Rumex thyrsiflorus Fingerh.	Rumex thyrsiflorus Fingerh.	6391417	accepted	Rumex thyrsiflorus Fingerh.	696533	exact_match	Rumex thyrsiflorus	http://www.wikidata.org/entity/Q2092514	696533			ok_auto
Fallopia dumetorum (L.) Holub	6391446	6391446	Fallopia dumetorum (L.) Holub	Fallopia dumetorum (L.) Holub	6391446	accepted	Fallopia dumetorum (L.) Holub	76031	exact_match	Fallopia dumetorum	http://www.wikidata.org/entity/Q741574	76031			ok_auto
Amsinckia intermedia Fisch. & C.A.Mey.	6395134	6395134	Amsinckia intermedia Fisch. & C.A.Mey.	Amsinckia intermedia Fisch. & C.A.Mey.	6395134	accepted	Amsinckia intermedia Fisch. & C.A.Mey., 1836	2005080	exact_match	Amsinckia intermedia	http://www.wikidata.org/entity/Q21083612	2005080			ok_auto
Physalis ixocarpa Brot. ex Hornem.	6402873	5581168	Physalis philadelphica subsp. ixocarpa (Brot. ex Hornem.) Sobr.-Vesp. & Sanz-Elorza	Physalis ixocarpa Brot. ex Hornem.	6402873	synonym	Physalis ixocarpa Brot. ex Hornem.	374031	exact_match	Physalis ixocarpa	http://www.wikidata.org/entity/Q15532679	374031			ok_auto
Thymus serpyllum L.	6409622	6409622	Thymus serpyllum L.	Thymus serpyllum L.	6409622	accepted	Thymus serpyllum L.	204219	exact_match	Thymus serpyllum	http://www.wikidata.org/entity/Q147251	204219			ok_auto
Salvia verbenaca L.	6409706	6409706	Salvia verbenaca L.	Salvia verbenaca L.	6409706	accepted	Salvia verbenaca L.	268912	exact_match	Salvia verbenaca	http://www.wikidata.org/entity/Q1313052	268912			ok_auto
Thymus drucei Ronniger	6410501	5605894	Thymus praecox subsp. britannicus (Ronniger) Holub	Thymus drucei Ronniger	6410501	synonym	Thymus drucei Ronniger, 1924	2065962	exact_match	Thymus drucei	http://www.wikidata.org/entity/Q50346466	2065962			ok_auto
Teucrium chamaedrys L.	6411747	6411747	Teucrium chamaedrys L.	Teucrium chamaedrys L.	6411747	accepted	Teucrium chamaedrys L., 1753	53176	exact_match	Teucrium chamaedrys	http://www.wikidata.org/entity/Q161937	53176			ok_auto
Juncus bufonius L.	6413649	6413649	Juncus bufonius L.	Juncus bufonius L.	6413649	accepted	Juncus bufonius L.	223656	exact_match	Juncus bufonius	http://www.wikidata.org/entity/Q159152	223656			ok_auto
Juncus ranarius Songeon & E.P.Perrier	6413731	6413731	Juncus ranarius Songeon & E.P.Perrier	Juncus ranarius Songeon & E.P.Perrier	6413731	accepted	Juncus ranarius Songeon & E.P.Perrier	669712	exact_match	Juncus ranarius	http://www.wikidata.org/entity/Q163206	669712			ok_auto
Taxus ×media Rehder	6420771	6420771	Taxus ×media Rehder	Taxus ×media Rehder	6420771	accepted	Taxus x media Rehder	85957	exact_match	Taxus x media	http://www.wikidata.org/entity/Q6292155	85957			ok_auto
Bryonia dioica Jacq.	6422396	6422396	Bryonia dioica Jacq.	Bryonia dioica Jacq.	6422396	accepted	Bryonia dioica Jacq., 1774	3652	exact_match	Bryonia dioica	http://www.wikidata.org/entity/Q163815	3652			ok_auto
Oenothera canovirens Steele	6427797	6427797	Oenothera canovirens Steele	Oenothera canovirens Steele	6427797	accepted					http://www.wikidata.org/entity/Q17601739				no_match_incl_synonyms
Epilobium lanceolatum Sebast. & Mauri	6427899	6427899	Epilobium lanceolatum Sebast. & Mauri	Epilobium lanceolatum Sebast. & Mauri	6427899	accepted	Epilobium lanceolatum Sebast. & Mauri	1155263	exact_match	Epilobium lanceolatum	http://www.wikidata.org/entity/Q164353	1155263			ok_auto
Oenothera depressa Greene	6428493	6428493	Oenothera depressa Greene	Oenothera depressa Greene	6428493	accepted					http://www.wikidata.org/entity/Q11869851				no_match_incl_synonyms
Nuphar pumila (Timm) DC.	6435002	6435002	Nuphar pumila (Timm) DC.	Nuphar pumila (Timm) DC.	6435002	accepted	Nuphar pumila (Timm) DC.	38861	exact_match	Nuphar pumila	http://www.wikidata.org/entity/Q149337	38861			ok_auto
Hypericum hircinum L.	6436603	6436603	Hypericum hircinum L.	Hypericum hircinum L.	6436603	accepted	Hypericum hircinum L.	673927	exact_match	Hypericum hircinum	http://www.wikidata.org/entity/Q889234	673927			ok_auto
Hypericum maculatum Crantz	6437017	6437017	Hypericum maculatum Crantz	Hypericum maculatum Crantz	6437017	accepted	Hypericum maculatum Crantz, 1763	269006	exact_match	Hypericum maculatum	http://www.wikidata.org/entity/Q162486	269006			ok_auto
Veronica incana L.	6439117	6439117	Veronica incana L.	Veronica incana L.	6439117	accepted	Veronica incana L.	263973	exact_match	Veronica incana	http://www.wikidata.org/entity/Q4108050	263973	http://www.wikidata.org/entity/Q4108050	6439117	ok_auto
Veronica gentianoides Vahl	6439238	6439238	Veronica gentianoides Vahl	Veronica gentianoides Vahl	6439238	accepted	Veronica gentianoides Vahl	165334	exact_match	Veronica gentianoides	http://www.wikidata.org/entity/Q4108008	165334			ok_auto
