dataset_scientificName	dataset_taxonID	acceptedNameUsageID	acceptedName	gbif_speciesName	gbif_taxonID	taxonomicStatus	ncbi_speciesName	ncbi_taxonID	status	ncbi_acceptedName	gbif_wikidata_uri	ncbi_taxonID_wd	ncbi_wikidata_uri	gbif_taxonID_wd	curation
Senecio abrotanifolius L.	3097318	7222767	Jacobaea abrotanifolia subsp. abrotanifolia	Senecio abrotanifolius L.	3097318	heterotypic synonym	Senecio abrotanifolius L.	189225	exact_match	Jacobaea abrotanifolia	http://www.wikidata.org/entity/Q1279712				wd_batch_add_ncbi_taxonid
Trichocoronis rivularis A.Gray	3099649	3099650	Shinnersia rivularis (A.Gray) R.M.King & H.Rob.	Trichocoronis rivularis A.Gray	3099649	homotypic synonym	Trichocoronis rivularis A.Gray	1563975	exact_match	Shinnersia rivularis	http://www.wikidata.org/entity/Q15560290				wd_batch_add_ncbi_taxonid
Anthemis tinctoria L.	3102756	7066062	Cota tinctoria subsp. tinctoria	Anthemis tinctoria L.	3102756	homotypic synonym	Anthemis tinctoria L.	99028	exact_match	Cota tinctoria	http://www.wikidata.org/entity/Q925164				wd_batch_add_ncbi_taxonid
Senecio erucifolius L.	3107737	7222768	Jacobaea erucifolia subsp. erucifolia	Senecio erucifolius L.	3107737	heterotypic synonym	Senecio erucifolius L.	189238	exact_match	Jacobaea erucifolia	http://www.wikidata.org/entity/Q1323751				wd_batch_add_ncbi_taxonid
Scorzonera hispanica L.	3110905	10769750	Pseudopodospermum hispanicum subsp. hispanicum	Scorzonera hispanica L.	3110905	synonym	Scorzonera hispanica L., 1753	114289	exact_match	Pseudopodospermum hispanicum	http://www.wikidata.org/entity/Q385259				wd_batch_add_ncbi_taxonid
Scorzonera austriaca Willd.	3111121	3111121	Scorzonera austriaca Willd.	Scorzonera austriaca Willd.	3111121	accepted	Scorzonera austriaca Willd., 1803	261619	exact_match	Takhtajaniantha austriaca	http://www.wikidata.org/entity/Q304165				wd_batch_add_ncbi_taxonid
Cotula squalida Hook.fil.	3112151	7065884	Leptinella squalida subsp. squalida	Cotula squalida Hook.fil.	3112151	synonym	Cotula squalida (Hook.f.) Hook.f.	1193263	exact_match	Leptinella squalida	http://www.wikidata.org/entity/Q50839817				wd_batch_add_ncbi_taxonid
Schlagintweitia huteri (Hausm. ex Bamb.) Gottschl. & Greuter	3115488	3115488	Schlagintweitia huteri (Hausm. ex Bamb.) Gottschl. & Greuter	Schlagintweitia huteri (Hausm. ex Bamb.) Gottschl. & Greuter	3115488	accepted	Schlagintweitia huteri (Hausm. ex Bamb.) Gottschl. & Greuter, 2007	2604620	exact_match	Hieracium huteri	http://www.wikidata.org/entity/Q15558737				wd_batch_add_ncbi_taxonid
Filago gallica L.	3115856	3115857	Logfia gallica (L.) Coss. & Germ.	Filago gallica L.	3115856	homotypic synonym	Filago gallica L.	125729	exact_match	Logfia gallica	http://www.wikidata.org/entity/Q21397997				wd_batch_add_ncbi_taxonid
Hieracium lactucella Wallr.	3123350	6083651	Pilosella lactucella subsp. lactucella	Hieracium lactucella Wallr.	3123350	homotypic synonym	Hieracium lactucella Wallr., 1822	221202	exact_match	Pilosella lactucella	http://www.wikidata.org/entity/Q16983174				wd_batch_add_ncbi_taxonid
Hieracium cymosum L.	3123423	6083252	Pilosella cymosa subsp. cymosa	Hieracium cymosum L.	3123423	homotypic synonym	Hieracium cymosum L.	221193	exact_match	Pilosella cymosa	http://www.wikidata.org/entity/Q5753003				wd_batch_add_ncbi_taxonid
Helichrysum luteoalbum (L.) Rchb.	3131229	3131229	Helichrysum luteoalbum (L.) Rchb.	Helichrysum luteoalbum (L.) Rchb.	3131229	accepted	Helichrysum luteoalbum (L.) Rchb., 1829	59425	exact_match	Pseudognaphalium luteoalbum	http://www.wikidata.org/entity/Q15630502				wd_batch_add_ncbi_taxonid
Hieracium caespitosum Dumort.	3135273	6300884	Pilosella caespitosa subsp. caespitosa	Hieracium caespitosum Dumort.	3135273	homotypic synonym	Hieracium caespitosum Dumort.	221190	exact_match	Pilosella caespitosa	http://www.wikidata.org/entity/Q5753000				wd_batch_add_ncbi_taxonid
Hieracium aurantiacum L.	3136120	7222674	Pilosella aurantiaca subsp. aurantiaca	Hieracium aurantiacum L.	3136120	homotypic synonym	Hieracium aurantiacum L.	221188	exact_match	Pilosella aurantiaca	http://www.wikidata.org/entity/Q159107				wd_batch_add_ncbi_taxonid
Hieracium pilosella L.	3136365	9458333	Pilosella officinarum Vaill.	Hieracium pilosella L.	3136365	homotypic synonym	Hieracium pilosella L.	221204	exact_match	Pilosella officinarum	http://www.wikidata.org/entity/Q931460				wd_batch_add_ncbi_taxonid
Mycelis muralis (L.) Dumort.	3139040	3139040	Mycelis muralis (L.) Dumort.	Mycelis muralis (L.) Dumort.	3139040	accepted	Mycelis muralis (L.) Dumort., 1827	75960	exact_match	Cicerbita muralis	http://www.wikidata.org/entity/Q1546483				wd_batch_add_ncbi_taxonid
Acroptilon repens (L.) DC.	3142214	3142208		Acroptilon repens (L.) DC.	3142214	homotypic synonym	Acroptilon repens (L.) DC., 1838	41466	exact_match	Rhaponticum repens	http://www.wikidata.org/entity/Q12846085				wd_batch_add_ncbi_taxonid
Erigeron bonariensis L.	3146717	3146717	Erigeron bonariensis L.	Erigeron bonariensis L.	3146717	accepted	Erigeron bonariensis L.	91242	exact_match	Conyza bonariensis	http://www.wikidata.org/entity/Q21874195				wd_batch_add_ncbi_taxonid
