qid,-P846,#,P846,#,S248,s813
Q12849276,"""3083972""",Remove identifier pointing to homonym with wrong authorship,"""7793820""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q15364693,"""7309073""",Remove identifier pointing to homonym with wrong authorship,"""7428462""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q2016755,"""7267395""",Remove identifier pointing to homonym with wrong authorship,"""7746901""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q450250,"""3114220""",Remove identifier pointing to homonym with wrong authorship,"""7344766""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q2425310,"""2714852""",Remove identifier pointing to homonym with wrong authorship,"""8243603""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q133893,"""3032830""",Remove identifier pointing to homonym with wrong authorship,"""8165236""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q164219,"""5414471""",Remove identifier pointing to homonym with wrong authorship,"""7439391""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q160281,"""3724564""",Remove identifier pointing to homonym with wrong authorship,"""8242995""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q2716154,"""3127957""",Remove identifier pointing to homonym with wrong authorship,"""8305028""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q3507927,"""4067506""",Remove identifier pointing to homonym with wrong authorship,"""7989836""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q2529978,"""5359472""",Remove identifier pointing to homonym with wrong authorship,"""8347243""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q21168770,"""3810915""",Remove identifier pointing to homonym with wrong authorship,"""8027596""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q17271725,"""3000035""",Remove identifier pointing to homonym with wrong authorship,"""8238184""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q737738,"""3923520""",Remove identifier pointing to homonym with wrong authorship,"""7889472""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q1409262,"""3753438""",Remove identifier pointing to homonym with wrong authorship,"""7671112""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q15575519,"""3085642""",Remove identifier pointing to homonym with wrong authorship,"""7721766""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q17248022,"""2997802""",Remove identifier pointing to homonym with wrong authorship,"""7748172""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q159373,"""7290531""",Remove identifier pointing to homonym with wrong authorship,"""7923515""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q146967,"""2882814""",Remove identifier pointing to homonym with wrong authorship,"""8073364""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q3490363,"""7296420""",Remove identifier pointing to homonym with wrong authorship,"""7544600""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q21155739,"""2721956""",Remove identifier pointing to homonym with wrong authorship,"""8285827""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q251370,"""5285010""",Remove identifier pointing to homonym with wrong authorship,"""8892957""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q148630,"""2684419""",Remove identifier pointing to homonym with wrong authorship,"""7963890""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q164977,"""7276758""",Remove identifier pointing to homonym with wrong authorship,"""7456960""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q245982,"""3165773""",Remove identifier pointing to homonym with wrong authorship,"""8366345""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q1569341,"""7294917""",Remove identifier pointing to homonym with wrong authorship,"""7730039""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q26354,"""3036074""",Remove identifier pointing to homonym with wrong authorship,"""8351737""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q625395,"""5301194""",Remove identifier pointing to homonym with wrong authorship,"""7689610""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q159185,"""3711777""",Remove identifier pointing to homonym with wrong authorship,"""7921919""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q104375184,"""7298956""",Remove identifier pointing to homonym with wrong authorship,"""8188719""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
