dataset_scientificName	dataset_taxonID	acceptedNameUsageID	acceptedName	gbif_speciesName	gbif_taxonID	taxonomicStatus	ncbi_speciesName	ncbi_taxonID	status	ncbi_acceptedName	gbif_wikidata_uri	ncbi_taxonID_wd	ncbi_wikidata_uri	gbif_taxonID_wd	curation
Dactylorhiza ochroleuca (Wüstnei ex Boll) Holub	2809906	2809905	Dactylorhiza incarnata subsp. ochroleuca (Wüstnei ex Boll) P.F.Hunt & Summerh.	Dactylorhiza ochroleuca (Wüstnei ex Boll) Holub	2809906	homotypic synonym	Dactylorhiza ochroleuca (Boll) Aver.	329320	author_mismatch	Dactylorhiza incarnata subsp. ochroleuca	http://www.wikidata.org/entity/Q1449281				possible_homonym
Dactylorhiza majalis (Rchb.) P.F.Hunt & Summerh.	2810155	2810155	Dactylorhiza majalis (Rchb.) P.F.Hunt & Summerh.	Dactylorhiza majalis (Rchb.) P.F.Hunt & Summerh.	2810155	accepted	Dactylorhiza majalis (Reichb.f.) P.F.Hunt & Summerhayes	231484	author_mismatch	Dactylorhiza majalis	http://www.wikidata.org/entity/Q1367838	231484			wd_verify_authorship
Dactylorhiza traunsteineri (Saut. ex Rchb.) Soó	2810532	2810532	Dactylorhiza traunsteineri (Saut. ex Rchb.) Soó	Dactylorhiza traunsteineri (Saut. ex Rchb.) Soó	2810532	accepted	Dactylorhiza traunsteineri (Saut. ex Rchb.f.) Soo	230573	author_mismatch	Dactylorhiza traunsteineri	http://www.wikidata.org/entity/Q1315819	230573			wd_verify_authorship
Dactylorhiza fuchsii (Druce) Soó	2810677	2810677	Dactylorhiza fuchsii (Druce) Soó	Dactylorhiza fuchsii (Druce) Soó	2810677	accepted	Dactylorhiza fuchsii (Druce) Soo	230571	author_mismatch	Dactylorhiza fuchsii	http://www.wikidata.org/entity/Q637526	230571			wd_verify_authorship
Dactylorhiza longifolia (Neuman) Aver.	2810806	8263440	Dactylorhiza majalis subsp. baltica (Klinge) H.Sund.	Dactylorhiza baltica (Klinge) N.I.Orlova	2810811	homotypic synonym	Dactylorhiza baltica (Klinge) Nevski	492482	author_mismatch	Dactylorhiza baltica	http://www.wikidata.org/entity/Q805799	492482	http://www.wikidata.org/entity/Q805799	2810811	wd_verify_authorship
Dactylorhiza longifolia (Neuman) Aver.	2810806	8263440	Dactylorhiza majalis subsp. baltica (Klinge) H.Sund.	Dactylorhiza baltica (Klinge) Nevski	8286972	synonym	Dactylorhiza baltica (Klinge) Nevski	492482	exact_match	Dactylorhiza baltica			http://www.wikidata.org/entity/Q805799	2810811	gbif_verify_synonym
Gymnadenia densiflora (Wahlenb.) A.Dietr.	2840425	2840425	Gymnadenia densiflora (Wahlenb.) A.Dietr.	Gymnadenia densiflora (Wahlenb.) A.Dietr.	2840425	accepted	Gymnadenia x densiflora (Wahlenb.) A.Dietr	97906	author_mismatch	Gymnadenia x densiflora	http://www.wikidata.org/entity/Q15476974				possible_homonym
Allium tuberosum Rottler ex Spreng.	2856297	2856297	Allium tuberosum Rottler ex Spreng.	Allium tuberosum Rottler ex Spreng.	2856297	accepted	Allium tuberosum	4683	noauthor	Allium tuberosum	http://www.wikidata.org/entity/Q42285	4683			wd_verify_authorship
Allium sativum L.	2856681	2856681	Allium sativum L.	Allium sativum L.	2856681	accepted	Allium sativum	4682	noauthor	Allium sativum	http://www.wikidata.org/entity/Q23400	4682			wd_verify_authorship
Ruppia spiralis Dumort.	2863998	2863987	Ruppia cirrhosa (Petagna) Grande	Ruppia spiralis Dumort.	2863998	synonym	Ruppia spiralis Dumort.	83789	exact_match	Ruppia cirrhosa			http://www.wikidata.org/entity/Q161315	2863987	gbif_verify_synonym
Alisma gramineum Lej.	2865152	2865152	Alisma gramineum Lej.	Alisma gramineum Lej.	2865152	accepted	Alisma gramineum	365729	noauthor	Alisma gramineum	http://www.wikidata.org/entity/Q312231	365729			wd_verify_authorship
Lagarosiphon major (Ridl.) Moss	2865565	2865565	Lagarosiphon major (Ridl.) Moss	Lagarosiphon major (Ridl.) Moss	2865565	accepted	Lagarosiphon major Moss ex Wager, 1928	55468	author_mismatch	Lagarosiphon major	http://www.wikidata.org/entity/Q6471912	55468			wd_verify_authorship
Lemna minuta Kunth	2867614	2867614	Lemna minuta Kunth	Lemna minuta Kunth	2867614	accepted	Lemna minuta	161101	noauthor	Lemna minuta	http://www.wikidata.org/entity/Q159886	161101			wd_verify_authorship
Lysichiton americanus Hultén & H.St.John	2869311	2869311	Lysichiton americanus Hultén & H.St.John	Lysichiton americanus Hultén & H.St.John	2869311	accepted	Lysichiton americanus Hulten & H.St.John	374417	author_mismatch	Lysichiton americanus	http://www.wikidata.org/entity/Q469972	374417			wd_verify_authorship
Linum bienne Mill.	2873896	2873896	Linum bienne Mill.	Linum bienne Mill.	2873896	accepted	Linum bienne	347648	noauthor	Linum bienne	http://www.wikidata.org/entity/Q232898	347648			wd_verify_authorship
Cucurbita ficifolia Bouché	2874512	2874512	Cucurbita ficifolia Bouché	Cucurbita ficifolia Bouché	2874512	accepted	Cucurbita ficifolia	37645	noauthor	Cucurbita ficifolia	http://www.wikidata.org/entity/Q431138	37645			wd_verify_authorship
Citrullus colocynthis (L.) Schrader	2874622	2874622	Citrullus colocynthis (L.) Schrader	Citrullus colocynthis (L.) Schrader	2874622	accepted	Citrullus colocynthis (L.) Schrad.	252529	author_mismatch	Citrullus colocynthis	http://www.wikidata.org/entity/Q913609	252529			wd_verify_authorship
Tamarix pentandra Pall.	2874697	2874700	Tamarix ramosissima Ledeb.	Tamarix pentandra Pall.	2874697	heterotypic synonym	Tamarix pentandra Pall.	63103	exact_match	Tamarix pentandra					other
Carpinus betulus L.	2875818	2875818	Carpinus betulus L.	Carpinus betulus L.	2875818	accepted	Carpinus betulus	12990	noauthor	Carpinus betulus	http://www.wikidata.org/entity/Q158776	12990			wd_verify_authorship
Quercus frainetto Ten.	2879504	2879504	Quercus frainetto Ten.	Quercus frainetto Ten.	2879504	accepted	Quercus frainetto	225354	noauthor	Quercus frainetto	http://www.wikidata.org/entity/Q857075	225354			wd_verify_authorship
Quercus rubra L.	2880539	2880539	Quercus rubra L.	Quercus rubra L.	2880539	accepted	Quercus rubra	3512	noauthor	Quercus rubra	http://www.wikidata.org/entity/Q147525	3512			wd_verify_authorship
Quercus pubescens Willd.	2881283	2881283	Quercus pubescens Willd.	Quercus pubescens Willd.	2881283	accepted	Quercus pubescens	39471	noauthor	Quercus pubescens	http://www.wikidata.org/entity/Q161415	39471			wd_verify_authorship
Fagus sylvatica L.	2882316	2882316	Fagus sylvatica L.	Fagus sylvatica L.	2882316	accepted	Fagus sylvatica	28930	noauthor	Fagus sylvatica	http://www.wikidata.org/entity/Q146149	28930			wd_verify_authorship
Vaccinium oxycoccos L.	2882940	2882940	Vaccinium oxycoccos L.	Vaccinium oxycoccos L.	2882940	accepted	Vaccinium oxycoccos	516948	noauthor	Vaccinium oxycoccos	http://www.wikidata.org/entity/Q374399	516948			wd_verify_authorship
Kalmia procumbens (L.) Gift, Kron & P.F.Stevens ex Galasso, Banfi & F.Conti	2883018	7601217	Kalmia procumbens (L.) Gift, Kron & P.F.Stevens	Kalmia procumbens (L.) Gift, Kron & P.F.Stevens ex Galasso, Banfi & F.Conti	2883018	homotypic synonym	Kalmia procumbens (L.) Gift & Kron ex Galasso, Banfi & F.Conti	45912	author_mismatch	Kalmia procumbens	http://www.wikidata.org/entity/Q1193268	45912			wd_verify_authorship
Pseudofumaria lutea (L.) Borkh.	2888513	2888513	Pseudofumaria lutea (L.) Borkh.	Pseudofumaria lutea (L.) Borkh.	2888513	accepted	Pseudofumaria lutea (L.) Borckh.	54436	author_mismatch	Pseudofumaria lutea	http://www.wikidata.org/entity/Q15334159	54436			wd_verify_authorship
Dicentra formosa (Andrews) Walp.	2888553	2888553	Dicentra formosa (Andrews) Walp.	Dicentra formosa (Andrews) Walp.	2888553	accepted	Dicentra formosa (Haw.) Walp.	332430	author_mismatch	Dicentra formosa	http://www.wikidata.org/entity/Q1871251	332430			wd_verify_authorship
Viburnum rhytidophyllum Hemsl. ex Forbes & Hemsl.	2888625	2888625	Viburnum rhytidophyllum Hemsl. ex Forbes & Hemsl.	Viburnum rhytidophyllum Hemsl. ex Forbes & Hemsl.	2888625	accepted	Viburnum rhytidophyllum Hemsl.	47689	author_mismatch	Viburnum rhytidophyllum	http://www.wikidata.org/entity/Q180606	47689			wd_verify_authorship
Valerianella carinata Loisel.	2888769	2888769	Valerianella carinata Loisel.	Valerianella carinata Loisel.	2888769	accepted					http://www.wikidata.org/entity/Q160768	368322			other
Rumex longifolius DC.	2888946	2888946	Rumex longifolius DC.	Rumex longifolius DC.	2888946	accepted	Rumex longifolius	1075208	noauthor	Rumex longifolius	http://www.wikidata.org/entity/Q3479283	1075208			wd_verify_authorship
Rumex ×pratensis Mert. & W.D.J.Koch	2889035	2889035	Rumex ×pratensis Mert. & Koch	Rumex ×pratensis Mert. & Koch	2889035	accepted	Rumex x pratensis Mert. & W.D.J.Koch	644190	author_mismatch	Rumex x pratensis	http://www.wikidata.org/entity/Q3159060	644190			wd_verify_authorship
Persicaria pensylvanica (L.) M.Gómez	2889198	2889198	Persicaria pensylvanica (L.) M.Gómez	Persicaria pensylvanica (L.) M.Gómez	2889198	accepted	Persicaria pensylvanica (L.) M.Gomez	137687	author_mismatch	Persicaria pensylvanica	http://www.wikidata.org/entity/Q15596461	137687			wd_verify_authorship
